name,price,link,discounts,product-image
NIKE Patike air max sc leather M,"11.899,99 RSD",https://planetasport.rs/patike-air-max-sc-leather-m-dh9636-001.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/h/dh9636-001.jpg?v=869de8cd52']
ADIDAS Cipele terrex ax3 M,"12.999,99 RSD",https://planetasport.rs/cipele-terrex-ax3-m-if4881.html,"['-30%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if4881.jpg?v=546546353e']
PROBALL Koš sa konstrukcijom portable basketball stand U,"39.999,99 RSD",https://planetasport.rs/kos-sa-konstrukcijom-portable-basketball-stand-u-cd-b100.html,['-34%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/c/d/cd-b100.jpg?v=f81884741b']
GEOGRAPHICAL NORWAY jakna verveine men new 005 bs5 M,"24.999,99 RSD",https://planetasport.rs/jakna-verveine-men-new-005-bs5-m-wx2523h-gn.html,"['-50%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/x/wx2523h-gn.jpg?v=502c656460']
ADIDAS Patike terrex swift solo 2 M,"14.399,99 RSD",https://planetasport.rs/patike-terrex-swift-solo-2-m-ie6901.html,"['-13%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/e/ie6901.jpg?v=2bd1ee12b1']
WINTRO Cipele janus M,"9.999,99 RSD",https://planetasport.rs/wintro-cipele-janus-m-wif243m307-01.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wif243m307-01.jpg?v=c9063785ed']
SKECHERS Patike max protect M,"13.499,99 RSD",https://planetasport.rs/patike-max-protect-m-237301-bkcc.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/3/237301-bkcc.jpg?v=4ee968c956']
GRI SPORT cipele naxos M,"12.999,99 RSD",https://planetasport.rs/cipele-naxos-m-12905d1g.html,"['-50%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/2/12905d1g.jpg?v=54b7514664']
SERGIO TACCHINI Patike st grafitte M,"11.999,99 RSD",https://planetasport.rs/sergio-tacchini-patike-st-grafitte-m-stf243m139-01.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/s/t/stf243m139-01.jpg?v=ae13baa032']
GEOGRAPHICAL NORWAY Jakna arnold black men 001 pna M,"24.999,99 RSD",https://planetasport.rs/geographical-norway-jakna-arnold-black-men-001-pna-m-wy3195h-gn.html,"['-40%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/y/wy3195h-gn.jpg?v=98ef42cb86']
GEOGRAPHICAL NORWAY Jakna beachwood black men 068 pna M,"23.999,99 RSD",https://planetasport.rs/geographical-norway-jakna-beachwood-black-men-068-pna-m-wy3192h-gn.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/y/wy3192h-gn.jpg?v=52e23af2dc']
SPALDING Spalding lopta oficijalna euroleague tf-1000 7 U,"14.999,99 RSD",https://planetasport.rs/lopta-oficijalna-euroleague-tf-1000-7-u-77-100z.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/7/7/77-100z.jpg?v=0bc7f5530a']
SKECHERS Patike max protect 1 M,"14.499,99 RSD",https://planetasport.rs/patike-max-protect-1-m-237304-bkgy.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/3/237304-bkgy.jpg?v=a2fcb69350']
ADIDAS Patike terrex swift r3 gtx M,"18.999,99 RSD",https://planetasport.rs/adidas-patike-terrex-swift-r3-gtx-m-gy6765.html,"['-40%', '-40%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/y/gy6765.jpg?v=8e2d3a1354']
NIKE Patike air max alpha trainer 5 M,"11.199,99 RSD",https://planetasport.rs/patike-air-max-alpha-trainer-5-m-dm0829-403.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/d/m/dm0829-403.jpg?v=a33308a2db']
SKECHERS Cipele selmen M,"10.799,99 RSD",https://planetasport.rs/cipele-selmen-m-66283-blk.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/6/6/66283-blk.jpg?v=42e2777f82']
SKECHERS Patike uno stand on air M,"10.499,99 RSD",https://planetasport.rs/patike-uno-stand-on-air-m-52458-olv.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/5/2/52458-olv.jpg?v=28cc853077']
ADIDAS Cipele terrex ax3 gtx M,"15.599,99 RSD",https://planetasport.rs/cipele-terrex-ax3-gtx-m-if4882.html,"['-30%', '-18%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if4882.jpg?v=3b5f84df90']
ADIDAS Cipele terrex eastrail 2 M,"10.799,99 RSD",https://planetasport.rs/adidas-cipele-terrex-eastrail-2-m-ig8856.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig8856.jpg?v=3226c66f73']
ADIDAS Cipele terrex ax4 gtx M,"15.599,99 RSD",https://planetasport.rs/cipele-terrex-ax4-gtx-m-hp7396.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/p/hp7396.jpg?v=1850ec89b8']
RANG Trenerka neo tracksuit M,"8.499,99 RSD",https://planetasport.rs/rang-trenerka-neo-tracksuit-m-f244m01-02.html,"['-40%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/f/2/f244m01-02.jpg?v=2f6741155c']
KANDER Cipele kang mid M,"10.499,99 RSD",https://planetasport.rs/cipele-kang-mid-m-kaf233m205-01.html,"['-50%', '-50%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/k/a/kaf233m205-01.jpg?v=727980c69c']
WINTRO Jakna jayden jacket M,"12.499,99 RSD",https://planetasport.rs/wintro-jakna-jayden-jacket-m-wia243m501-20.html,"['-40%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/w/i/wia243m501-20.jpg?v=6b173d2296']
PUMA Trenerka mix evostripe suit op M,"9.999,99 RSD",https://planetasport.rs/trenerka-puma-mix-evostripe-suit-op-m-670622-70.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/6/7/670622-70.jpg?v=145b7d9902']
RANG Cipele otis M,"9.999,99 RSD",https://planetasport.rs/rang-cipele-otis-m-xmf23201-02.html,"['-40%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/x/m/xmf23201-02.jpg?v=b088d4b10b']
