name,price,link,discounts,product-image
CROCS Papuče crocband BT,"5.499,99 RSD",https://planetasport.rs/papuce-crocs-crocband-bt-207005-4kz.html,"['-34%', '-34%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/0/207005-4kz.jpg?v=7948bfc919']
CROCS Papuče classic GT,"5.499,99 RSD",https://planetasport.rs/papuce-crocs-classic-gt-207915-530.html,"['-34%', '-34%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/2/0/207915-530.jpg?v=02440b6818']
CROCS Papuče classic BG,"6.999,99 RSD",https://planetasport.rs/papuce-crocs-classic-bg-11016-07w.html,['-32%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/1/11016-07w.jpg?v=51c664bc70']
ADIDAS Patike breaknet 2.0 k BG,"5.399,99 RSD",https://planetasport.rs/patike-breaknet-2-0-k-bg-hp8956.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/h/p/hp8956.jpg?v=88b2432c4b']
IPANEMA Sandale summer x baby GT,"3.299,99 RSD",https://planetasport.rs/sandale-ipanema-summer-x-baby-gt-83353-ah746.html,['-43%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83353-ah746.jpg?v=9efa45751e']
IPANEMA Sandale summer x baby GT,"3.299,99 RSD",https://planetasport.rs/sandale-ipanema-summer-x-baby-gt-83353-ah745.html,['-43%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83353-ah745.jpg?v=b69c873110']
IPANEMA Sandale summer x baby BT,"2.999,99 RSD",https://planetasport.rs/sandale-ipanema-summer-x-baby-bt-83354-ak105.html,['-46%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83354-ak105.jpg?v=7c8a6a5966']
IPANEMA Papuče urban iv slide kids BP,"2.399,99 RSD",https://planetasport.rs/papuce-ipanema-urban-iv-slide-kids-bp-83349-ah869.html,['-22%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83349-ah869.jpg?v=263960664c']
IPANEMA Papuče urban iv slide kids GP,"2.399,99 RSD",https://planetasport.rs/papuce-ipanema-urban-iv-slide-kids-gp-83349-ah859.html,['-32%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83349-ah859.jpg?v=3e83af7cdb']
RIDER Sandale free style graphics kd BPG,"3.599,99 RSD",https://planetasport.rs/sandale-rider-free-style-graphics-kd-bpg-12021-af106.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/2/12021-af106.jpg?v=410878c7ae']
IPANEMA Papuče urban iv slide kids GP,"2.399,99 RSD",https://planetasport.rs/papuce-ipanema-urban-iv-slide-kids-gp-83349-ah858.html,['-22%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/8/3/83349-ah858.jpg?v=5fbcbca027']
RIDER Sandale free style graphics kd BPG,"3.599,99 RSD",https://planetasport.rs/sandale-rider-free-style-graphics-kd-bpg-12021-af111.html,['-20%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/1/2/12021-af111.jpg?v=7f8e26056d']
RANG Papuče liv GP,"1.499,99 RSD",https://planetasport.rs/papuce-liv-gp-qps23113-15.html,['-67%'],['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/q/p/qps23113-15.jpg?v=8108ef9ccd']
RANG Papuče saul BP,"1.499,99 RSD",https://planetasport.rs/papuce-saul-bp-qps23112-13.html,"['-58%', '-58%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/q/p/qps23112-13.jpg?v=c1a0deddb3']
ADIDAS Patike fortarun k GP,"5.999,99 RSD",https://planetasport.rs/patike-fortarun-k-gp-gz6007.html,"['-6%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/g/z/gz6007.jpg?v=6d1dd85bb5']
ADIDAS Patike vs switch 3 cf c BP,"4.799,99 RSD",https://planetasport.rs/patike-vs-switch-3-cf-c-bp-ig9640.html,"['-30%', '-30%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/g/ig9640.jpg?v=32d5cf5376']
ADIDAS Patike hoops 3.0 cf c BP,"4.499,99 RSD",https://planetasport.rs/patike-hoops-3-0-cf-c-bp-if5316.html,"['-30%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/i/f/if5316.jpg?v=aee85408cd']
SKECHERS Patike flex glow bolt BP,"6.999,99 RSD",https://planetasport.rs/patike-flex-glow-bolt-bp-400138l-bkrd.html,"['-20%', '-20%']",['https://planetasport.rs/media/catalog/product/cache/730df358d17d054d41286016a848c691/4/0/400138l-bkrd.jpg?v=4265b4465b']
